Data,Turno,Início,Fim,Local,Proponente,Título
16/03/2026,Noite,19:30:00,22:00:00,CIEP - EEEM Dr. Romário Araújo de Oliveira,Alisson Thiago de Ávila Machado,Fotografia Mobile para a Terceira Idade
17/03/2026,Manhã,14:00:00,16:00:00,SESC Alegrete,Alisson Thiago de Ávila Machado,Fotografia Mobile para a Terceira Idade
18/03/2026,Noite,18:45:00,21:00:00,EMEB Francisco Carlos,Alisson Thiago de Ávila Machado,Fotografia Mobile para a Terceira Idade
19/03/2026,Manhã,09:00:00,11:00:00,Centro de Convivência e Fortalecimento de Vínculos (CCFV),Alisson Thiago de Ávila Machado,Fotografia Mobile para a Terceira Idade
19/03/2026,Tarde,14:00:00,16:00:00,SESC Alegrete,Alisson Thiago de Ávila Machado,Fotografia Mobile para a Terceira Idade
16/03/2026,Tarde,14:00:00,17:00:00,Agência Adventista de Desenvolvimento e Recursos Assistenciais Sul,William Marques Morales,Música que Transforma: Oficina de Prática e Criação Musical
17/03/2026,Tarde,14:00:00,17:00:00,Agência Adventista de Desenvolvimento e Recursos Assistenciais Sul,William Marques Morales,Música que Transforma: Oficina de Prática e Criação Musical
18/03/2026,Tarde,14:00:00,17:00:00,Agência Adventista de Desenvolvimento e Recursos Assistenciais Sul,William Marques Morales,Música que Transforma: Oficina de Prática e Criação Musical
19/03/2026,Tarde,14:00:00,17:00:00,Agência Adventista de Desenvolvimento e Recursos Assistenciais Sul,William Marques Morales,Música que Transforma: Oficina de Prática e Criação Musical
20/03/2026,Tarde,14:00:00,17:00:00,Agência Adventista de Desenvolvimento e Recursos Assistenciais Sul,William Marques Morales,Música que Transforma: Oficina de Prática e Criação Musical
16/03/2026,Manhã,09:00:00,11:00:00,EMEB Alcy Vargas Cheuiche,Jacqueline Zacarias Silveira,Na Escola também se dança!
17/03/2026,Manhã,09:00:00,11:00:00,EMEB Eurípedes Brasil Milano,Jacqueline Zacarias Silveira,Na Escola também se dança!
18/03/2026,Manhã,09:00:00,11:00:00,EEEF Farroupilha,Jacqueline Zacarias Silveira,Na Escola também se dança!
19/03/2026,Manhã,09:00:00,11:00:00,EMEB Waldemar Borges,Jacqueline Zacarias Silveira,Na Escola também se dança!
19/03/2026,Tarde,14:00:00,16:00:00,EMEB Francisco Carlos,Jacqueline Zacarias Silveira,Na Escola também se dança!
16/03/2026,Manhã,09:00:00,12:00:00,EMEB Francisco Mafaldo - Polo Caverá,Wagner Ferreira Previtali,Onde está a arte no mundo? - Oficina Prática de Videoarte
17/03/2026,Tarde,14:00:00,17:00:00,EMEB Waldemar Borges,Wagner Ferreira Previtali,Onde está a arte no mundo? - Oficina Prática de Videoarte
18/03/2026,Manhã,09:00:00,12:00:00,EEEM José Bonifácio,Wagner Ferreira Previtali,Onde está a arte no mundo? - Oficina Prática de Videoarte
19/03/2026,Manhã,09:00:00,12:00:00,EMEB Alcy Vargas Cheuiche,Wagner Ferreira Previtali,Onde está a arte no mundo? - Oficina Prática de Videoarte
20/03/2026,Manhã,08:00:00,11:00:00,EMEB Lions Clube,Wagner Ferreira Previtali,Onde está a arte no mundo? - Oficina Prática de Videoarte
16/03/2026,Manhã,09:00:00,10:30:00,Colégio Estadual Emílio Zuñeda,Patricia da Silva Wiersbitzki,Corpo em Jogo: Oficina de Improvisação Teatral
17/03/2026,Manhã,09:00:00,10:30:00,EMEB Francisco Mafaldo - Polo Caverá,Patricia da Silva Wiersbitzki,Corpo em Jogo: Oficina de Improvisação Teatral
18/03/2026,Noite,19:00:00,20:30:00,EMEB Waldemar Borges,Patricia da Silva Wiersbitzki,Corpo em Jogo: Oficina de Improvisação Teatral
19/03/2026,Manhã,09:00:00,10:30:00,EEEM José Bonifácio,Patricia da Silva Wiersbitzki,Corpo em Jogo: Oficina de Improvisação Teatral
20/03/2026,Manhã,18:00:00,19:30:00,Unipampa - Campus Alegrete,Patricia da Silva Wiersbitzki,Corpo em Jogo: Oficina de Improvisação Teatral
16/03/2026,Manhã,09:00:00,10:30:00,EEEF Farroupilha,Claudemir Nunes Nery,"Danças Afro-Brasileiras: Ritmos, Movimentos, Corpo e Ancestralidade"
17/03/2026,Manhã,09:00:00,10:30:00,EEEF Farroupilha,Claudemir Nunes Nery,"Danças Afro-Brasileiras: Ritmos, Movimentos, Corpo e Ancestralidade"
18/03/2026,Manhã,09:00:00,10:30:00,EEEF Farroupilha,Claudemir Nunes Nery,"Danças Afro-Brasileiras: Ritmos, Movimentos, Corpo e Ancestralidade"
19/03/2026,Manhã,09:00:00,10:30:00,EEEF Farroupilha,Claudemir Nunes Nery,"Danças Afro-Brasileiras: Ritmos, Movimentos, Corpo e Ancestralidade"
20/03/2026,Manhã,09:00:00,10:30:00,EEEF Farroupilha,Claudemir Nunes Nery,"Danças Afro-Brasileiras: Ritmos, Movimentos, Corpo e Ancestralidade"
16/03/2026,Manhã,09:00:00,11:00:00,CRAS Norte,Francisco Cléber da Silva Ravalha,Poesia do Cotidiano — A Palavra que nasce da vida
17/03/2026,Manhã,09:00:00,11:00:00,CRAS Sul,Francisco Cléber da Silva Ravalha,Poesia do Cotidiano — A Palavra que nasce da vida
18/03/2026,Manhã,09:00:00,11:00:00,CRAS Leste,Francisco Cléber da Silva Ravalha,Poesia do Cotidiano — A Palavra que nasce da vida
19/03/2026,Manhã,09:00:00,11:00:00,CRAS Extremo Leste,Francisco Cléber da Silva Ravalha,Poesia do Cotidiano — A Palavra que nasce da vida
20/03/2026,Manhã,09:00:00,11:00:00,Sociedade Alegretense de Apoio a Infância e Adolescência (SAAIA),Francisco Cléber da Silva Ravalha,Poesia do Cotidiano — A Palavra que nasce da vida
16/03/2026,Manhã,09:00:00,11:30:00,EEEM Demétrio Ribeiro,Júlia Protti da Silva,ORIGAMIS: DOBRAS QUE CRIAM MUNDOS
16/03/2026,Tarde,15:00:00,17:00:00,EMEB Princesa Isabel,Júlia Protti da Silva,ORIGAMIS: DOBRAS QUE CRIAM MUNDOS
19/03/2026,Noite,19:45:00,21:45:00,CIEP - EEEM Dr. Romário Araújo de Oliveira,Júlia Protti da Silva,ORIGAMIS: DOBRAS QUE CRIAM MUNDOS
20/03/2026,Manhã,08:00:00,10:00:00,EMEI Manoel Estivalet,Júlia Protti da Silva,ORIGAMIS: DOBRAS QUE CRIAM MUNDOS
20/03/2026,Manhã,15:00:00,17:00:00,Apae Alegrete,Júlia Protti da Silva,ORIGAMIS: DOBRAS QUE CRIAM MUNDOS
16/03/2026,Manhã,09:00:00,12:00:00,,Luana Braun Otokovieski,Ukulele na Mochila: Música Acessível para a Escola Pública
17/03/2026,Manhã,09:00:00,12:00:00,,Luana Braun Otokovieski,Ukulele na Mochila: Música Acessível para a Escola Pública
18/03/2026,Manhã,09:00:00,12:00:00,,Luana Braun Otokovieski,Ukulele na Mochila: Música Acessível para a Escola Pública
19/03/2026,Manhã,10:15:00,12:00:00,Apae Alegrete,Luana Braun Otokovieski,Ukulele na Mochila: Música Acessível para a Escola Pública
20/03/2026,Manhã,08:30:00,11:30:00,Emei Sérgio Augusto Bello Pereira,Luana Braun Otokovieski,Ukulele na Mochila: Música Acessível para a Escola Pública
16/03/2026,Noite,19:00:00,22:00:00,EMEB Waldemar Borges,Leocir Noronha Castilho,Comece a Pintar: Uma introdução à Pintura de Aquarela
17/03/2026,Manhã,09:00:00,12:00:00,,Leocir Noronha Castilho,Comece a Pintar: Uma introdução à Pintura de Aquarela
18/03/2026,Manhã,09:00:00,12:00:00,Colégio Estadual Emílio Zuñeda,Leocir Noronha Castilho,Comece a Pintar: Uma introdução à Pintura de Aquarela
19/03/2026,Manhã,09:00:00,12:00:00,EMEB Francisco Mafaldo - Polo Caverá,Leocir Noronha Castilho,Comece a Pintar: Uma introdução à Pintura de Aquarela
20/03/2026,Manhã,09:00:00,12:00:00,EEEM José Bonifácio,Leocir Noronha Castilho,Comece a Pintar: Uma introdução à Pintura de Aquarela